======================================================================
EVALUATION RESULTS - CORRECT VERSION
======================================================================

Model: resnet18
Checkpoint: ./model/resnet18-unet-ori/resnet18_best_dice.pth
Test set: ./dataset/augmented/test
Num samples: 522
Mask encoding: 0=background, >0=disease

IOU: 0.1848 ± 0.1675
DICE: 0.2821 ± 0.2137
ACCURACY: 0.4698 ± 0.2160
PRECISION: 0.2003 ± 0.1935
RECALL: 0.8923 ± 0.1944
F1: 0.2821 ± 0.2137


PER-IMAGE RESULTS:
Name                 IoU     Dice      Acc     Prec   Recall       F1
00099_style6      0.4528   0.6234   0.6330   0.4581   0.9752   0.6234
00099_style7      0.1896   0.3187   0.6436   0.3937   0.2678   0.3187
00103             0.3164   0.4807   0.9234   0.4364   0.5349   0.4807
00103_style0      0.0726   0.1354   0.2958   0.0737   0.8327   0.1354
00103_style1      0.0702   0.1311   0.2363   0.0709   0.8697   0.1311
00103_style2      0.0698   0.1304   0.1587   0.0700   0.9525   0.1304
00103_style3      0.0635   0.1195   0.1521   0.0642   0.8685   0.1195
00103_style4      0.1146   0.2056   0.5146   0.1153   0.9483   0.2056
00103_style5      0.0773   0.1436   0.3211   0.0783   0.8589   0.1436
00103_style6      0.0820   0.1516   0.3826   0.0834   0.8327   0.1516
00103_style7      0.0655   0.1230   0.6083   0.0722   0.4146   0.1230
00104             0.2246   0.3668   0.7570   0.2257   0.9781   0.3668
00104_style0      0.1070   0.1933   0.4004   0.1070   0.9986   0.1933
00104_style1      0.0850   0.1567   0.2254   0.0850   1.0000   0.1567
00104_style2      0.0833   0.1538   0.2083   0.0833   1.0000   0.1538
00104_style3      0.0897   0.1646   0.2696   0.0897   1.0000   0.1646
00104_style4      0.1148   0.2059   0.4451   0.1148   1.0000   0.2059
00104_style5      0.1115   0.2006   0.4267   0.1115   0.9997   0.2006
00104_style6      0.1107   0.1993   0.4218   0.1107   1.0000   0.1993
00104_style7      0.0666   0.1249   0.6475   0.0760   0.3496   0.1249
00114             0.5569   0.7154   0.8493   0.5797   0.9340   0.7154
00114_style0      0.3273   0.4932   0.5968   0.3310   0.9673   0.4932
00114_style1      0.2199   0.3605   0.2804   0.2199   1.0000   0.3605
00114_style2      0.2214   0.3625   0.2881   0.2215   0.9981   0.3625
00114_style3      0.2189   0.3592   0.2763   0.2189   1.0000   0.3592
00114_style4      0.3523   0.5210   0.6279   0.3525   0.9977   0.5210
00114_style5      0.3277   0.4936   0.5839   0.3277   1.0000   0.4936
00114_style6      0.3385   0.5058   0.6043   0.3387   0.9986   0.5058
00114_style7      0.2481   0.3975   0.7556   0.3975   0.3976   0.3975
00127             0.3195   0.4843   0.8940   0.3408   0.8362   0.4843
00127_style0      0.0858   0.1581   0.3663   0.0858   1.0000   0.1581
00127_style1      0.0730   0.1360   0.2438   0.0730   1.0000   0.1360
00127_style2      0.0727   0.1355   0.2619   0.0728   0.9722   0.1355
00127_style3      0.0721   0.1345   0.2341   0.0721   1.0000   0.1345
00127_style4      0.1029   0.1865   0.4923   0.1031   0.9782   0.1865
00127_style5      0.0930   0.1701   0.4324   0.0932   0.9776   0.1701
