======================================================================
EVALUATION RESULTS - CORRECT VERSION
======================================================================

Model: resnet50
Checkpoint: ./model/resnet50-unet-aug/loss3_bce_ftv_lap/resnet50_best_dice.pth
Test set: ./dataset/augmented/test
Num samples: 522
Mask encoding: 0=background, >0=disease

IOU: 0.2394 ± 0.2007
DICE: 0.3475 ± 0.2428
ACCURACY: 0.5888 ± 0.2581
PRECISION: 0.2671 ± 0.2344
RECALL: 0.8685 ± 0.1880
F1: 0.3475 ± 0.2428


PER-IMAGE RESULTS:
Name                 IoU     Dice      Acc     Prec   Recall       F1
00099_style2      0.4026   0.5741   0.5398   0.4033   0.9959   0.5741
00099_style3      0.4034   0.5749   0.5395   0.4034   0.9997   0.5749
00099_style4      0.5557   0.7144   0.7672   0.5780   0.9350   0.7144
00099_style5      0.4736   0.6428   0.7223   0.5362   0.8024   0.6428
00099_style6      0.4558   0.6262   0.7051   0.5173   0.7931   0.6262
00099_style7      0.5132   0.6783   0.7418   0.5542   0.8742   0.6783
00103             0.2717   0.4273   0.9150   0.3859   0.4786   0.4273
00103_style0      0.0966   0.1762   0.4938   0.0987   0.8171   0.1762
00103_style1      0.0684   0.1280   0.1074   0.0684   0.9886   0.1280
00103_style2      0.0829   0.1532   0.3030   0.0833   0.9516   0.1532
00103_style3      0.0782   0.1451   0.3311   0.0793   0.8571   0.1451
00103_style4      0.2968   0.4578   0.9062   0.3709   0.5978   0.4578
00103_style5      0.2400   0.3871   0.8743   0.2859   0.5990   0.3871
00103_style6      0.1506   0.2618   0.8137   0.1775   0.4988   0.2618
00103_style7      0.1229   0.2189   0.8676   0.1797   0.2801   0.2189
00104             0.3250   0.4905   0.8626   0.3345   0.9191   0.4905
00104_style0      0.1242   0.2210   0.5442   0.1260   0.8986   0.2210
00104_style1      0.0756   0.1406   0.1205   0.0756   1.0000   0.1406
00104_style2      0.0884   0.1624   0.2581   0.0884   1.0000   0.1624
00104_style3      0.1009   0.1833   0.3589   0.1009   1.0000   0.1833
00104_style4      0.1444   0.2523   0.5795   0.1447   0.9864   0.2523
00104_style5      0.2714   0.4269   0.8217   0.2777   0.9230   0.4269
00104_style6      0.1452   0.2536   0.6138   0.1473   0.9122   0.2536
00104_style7      0.1790   0.3036   0.6784   0.1798   0.9745   0.3036
00114             0.6205   0.7658   0.8973   0.7126   0.8275   0.7658
00114_style0      0.3571   0.5263   0.6488   0.3622   0.9618   0.5263
00114_style1      0.2106   0.3480   0.2400   0.2106   1.0000   0.3480
00114_style2      0.2823   0.4403   0.4908   0.2833   0.9876   0.4403
00114_style3      0.2711   0.4265   0.4602   0.2718   0.9898   0.4265
00114_style4      0.4831   0.6515   0.7849   0.4851   0.9915   0.6515
00114_style5      0.5319   0.6945   0.8300   0.5465   0.9524   0.6945
00114_style6      0.4359   0.6072   0.7394   0.4373   0.9928   0.6072
00114_style7      0.5411   0.7022   0.8782   0.6962   0.7083   0.7022
00127             0.3407   0.5083   0.9089   0.3744   0.7914   0.5083
00127_style0      0.1050   0.1900   0.4925   0.1050   1.0000   0.1900
00127_style1      0.0628   0.1181   0.1114   0.0628   1.0000   0.1181
00127_style2      0.0794   0.1471   0.3099   0.0794   1.0000   0.1471
00127_style3      0.0807   0.1493   0.3216   0.0807   1.0000   0.1493
00127_style4      0.1201   0.2145   0.5789   0.1206   0.9658   0.2145
00127_style5      0.1870   0.3150   0.7557   0.1891   0.9441   0.3150
00127_style6      0.1276   0.2263   0.6116   0.1284   0.9545   0.2263
00127_style7      0.1641   0.2819   0.7125   0.1656   0.9484   0.2819
00142             0.5056   0.6716   0.9620   0.5659   0.8258   0.6716
00142_style0      0.1307   0.2313   0.6873   0.1307   1.0000   0.2313
00142_style1      0.0488   0.0930   0.0828   0.0488   1.0000   0.0930
