======================================================================
EVALUATION RESULTS - CORRECT VERSION
======================================================================

Model: resnet18-aug
Checkpoint: ./model/resnet18-unet-aug/resnet18_best_dice.pth
Test set: ./dataset/augmented/test
Num samples: 522
Mask encoding: 0=background, >0=disease

IOU: 0.2748 ± 0.2088
DICE: 0.3915 ± 0.2452
ACCURACY: 0.7018 ± 0.1991
PRECISION: 0.3112 ± 0.2453
RECALL: 0.8248 ± 0.2012
F1: 0.3915 ± 0.2452


PER-IMAGE RESULTS:
Name                 IoU     Dice      Acc     Prec   Recall       F1
00220_style2      0.5561   0.7147   0.6050   0.5561   1.0000   0.7147
00220_style3      0.6167   0.7629   0.6925   0.6167   1.0000   0.7629
00220_style4      0.6862   0.8139   0.8044   0.7692   0.8640   0.8139
00220_style5      0.7340   0.8466   0.8303   0.7660   0.9461   0.8466
00220_style6      0.6268   0.7706   0.7764   0.7827   0.7589   0.7706
00220_style7      0.7075   0.8287   0.8426   0.8976   0.7697   0.8287
00223             0.2016   0.3356   0.9021   0.3031   0.3758   0.3356
00223_style0      0.1679   0.2876   0.7583   0.1784   0.7414   0.2876
00223_style1      0.0965   0.1760   0.4224   0.0971   0.9376   0.1760
00223_style2      0.1033   0.1872   0.5033   0.1049   0.8692   0.1872
00223_style3      0.1581   0.2731   0.6909   0.1615   0.8822   0.2731
00223_style4      0.2031   0.3376   0.8083   0.2185   0.7426   0.3376
00223_style5      0.2102   0.3474   0.8880   0.2818   0.4528   0.3474
00223_style6      0.2318   0.3763   0.8374   0.2517   0.7456   0.3763
00223_style7      0.1714   0.2926   0.7752   0.1845   0.7065   0.2926
00225             0.2915   0.4514   0.9347   0.3141   0.8019   0.4514
00225_style0      0.1712   0.2923   0.8476   0.1731   0.9393   0.2923
00225_style1      0.0553   0.1049   0.4458   0.0554   0.9691   0.1049
00225_style2      0.0576   0.1089   0.4517   0.0576   1.0000   0.1089
00225_style3      0.1011   0.1836   0.7023   0.1011   0.9994   0.1836
00225_style4      0.1578   0.2725   0.8471   0.1621   0.8548   0.2725
00225_style5      0.2960   0.4568   0.9357   0.3186   0.8067   0.4568
00225_style6      0.2055   0.3410   0.8849   0.2110   0.8888   0.3410
00225_style7      0.1850   0.3123   0.8759   0.1917   0.8412   0.3123
00228             0.4005   0.5719   0.8644   0.4525   0.7768   0.5719
00228_style0      0.4049   0.5764   0.8343   0.4105   0.9670   0.5764
00228_style1      0.2275   0.3707   0.6057   0.2277   0.9962   0.3707
00228_style2      0.1911   0.3209   0.5065   0.1911   1.0000   0.3209
00228_style3      0.2273   0.3704   0.6037   0.2273   1.0000   0.3704
00228_style4      0.4141   0.5857   0.8412   0.4208   0.9627   0.5857
00228_style5      0.4144   0.5859   0.8397   0.4192   0.9728   0.5859
00228_style6      0.3890   0.5601   0.8208   0.3923   0.9785   0.5601
00228_style7      0.3450   0.5131   0.8079   0.3642   0.8679   0.5131
00233             0.7259   0.8412   0.9527   0.7962   0.8916   0.8412
00233_style0      0.4043   0.5758   0.7956   0.4063   0.9879   0.5758
00233_style1      0.2217   0.3629   0.5070   0.2217   1.0000   0.3629
00233_style2      0.3002   0.4618   0.6728   0.3002   1.0000   0.4618
00233_style3      0.2639   0.4176   0.6086   0.2640   0.9997   0.4176
00233_style4      0.3894   0.5605   0.7988   0.4042   0.9140   0.5605
00233_style5      0.6503   0.7881   0.9259   0.6585   0.9813   0.7881
00233_style6      0.5200   0.6842   0.8710   0.5213   0.9952   0.6842
00233_style7      0.4220   0.5936   0.8266   0.4424   0.9016   0.5936
00238             0.0983   0.1791   0.8573   0.1405   0.2468   0.1791
00238_style0      0.0886   0.1627   0.7393   0.1020   0.4017   0.1627
00238_style1      0.0988   0.1798   0.4276   0.0988   0.9949   0.1798
00238_style2      0.0802   0.1484   0.2772   0.0802   0.9987   0.1484
00238_style3      0.0884   0.1625   0.4422   0.0897   0.8581   0.1625
00238_style4      0.1249   0.2221   0.8390   0.1597   0.3644   0.2221
00238_style5      0.1189   0.2125   0.8020   0.1418   0.4235   0.2125
00238_style6      0.0998   0.1816   0.6617   0.1071   0.5951   0.1816
00238_style7      0.1577   0.2725   0.8533   0.1982   0.4358   0.2725
00250             0.0445   0.0853   0.9354   0.0459   0.5968   0.0853
00250_style0      0.0274   0.0534   0.8213   0.0274   1.0000   0.0534
00250_style1      0.0126   0.0249   0.6058   0.0126   1.0000   0.0249
00250_style2      0.0095   0.0189   0.4766   0.0095   1.0000   0.0189
00250_style3      0.0174   0.0341   0.7147   0.0174   1.0000   0.0341
00250_style4      0.0428   0.0821   0.8939   0.0429   0.9407   0.0821
00250_style5      0.0221   0.0432   0.8029   0.0221   0.8814   0.0432
00250_style6      0.0171   0.0336   0.7273   0.0171   0.9407   0.0336
00250_style7      0.0237   0.0464   0.8681   0.0241   0.6364   0.0464
00270             0.1010   0.1834   0.8831   0.1039   0.7836   0.1834
00270_style0      0.0277   0.0540   0.4154   0.0277   0.9952   0.0540
00270_style1      0.0192   0.0377   0.1442   0.0192   1.0000   0.0377
00270_style2      0.0203   0.0399   0.1926   0.0203   1.0000   0.0399
00270_style3      0.0225   0.0440   0.2724   0.0225   1.0000   0.0440
